MUTUALIA
"GERIATRICO LA TORRE, S.L."
"EXCELLENCE INNOVA CONSULTORÍA Y FORMACIÓN, S.L."
"RESIDENCIAL NOGALES XXI, S.A."
"MASAZ VEGA, S.L."
"FRACORSAN, S.L."
"IVI ALICANTE, S.L."
"PROMOCIONES GERIATRICAS LA MANCHA, S.L."
"RESIDENCIA PATACONA, S.L. (GRUPO LLANERA)"
FUND.PRIV. DE LES FRANQUESES DEL VALLES
"RESIDENCIA LOS REMEDIOS, S.L."
"CONFRANDES, S.L."
FUNDACIÓN HOSPITAL DE JOVE
"CLINICA OFTALMICA BUIGUES, C.B."
"CIUDAD JARDÍN PARQUE DEL PRÍNCIPE, S.L."
"OASIS PALACE, S.L."
ASOCIACIÓN SAGRADA FAMILIA PARA ANCIANOS
FUNDACIÓN PRIV. NTRA. SRA. DE MONTSERRAT
"PROMOTORA DE SERVICIOS MOTUA, S.L."
"PARQUE COMERCIAL GORBEIA, S.A."
"CLINICA LOS ALAMOS, S.L."
"RESID. GERIATRICA SAN MIGUEL, S.L."
"JUANEDA URGENCIAS MEDICAS, S.L."
"CLINICA INDAUTXU, S.A."
MARX Y V. DE FATIMA GES. CTROS RES. S.L.
"GERIBEM, S.L."
"CLINICA SANITARIA BEDUNIA, S.L."
"PROYECTO ESPERANZA, S.L."
"RESIDENCIA NUESTRA SEÑORA DE LOS SANTOS, S.L."
FUNDACIÓN PRIVADA HOSPITAL DE MOLLET
"GERIÁTRICO DEL GENIL, S.L."
"IVI VALENCIA, S.L."
"VENSO, S.A."
"AAF MAS DCA, S.L."
"CIA. DE SEGUROS IMQ Y DE ESPECIALIDADES DE NAVARRA, S.A."
FUNDACIÓ MARE DE DEU DELS DESEMPARATS
"RESIDENCIA VIRGEN DE LA FUENSANTA, S.A."
"C.B. GERIÁTRICOS, S.L."
"RESIDENCIAL RB, S.L."
"RESIDENCIA ENTRE ALAMOS, S.L."
FUNDACIO HOSPITAL DE LA SANTA CREU
"RESIDENCIA SANTO TORIBIO, S.L."
FUNDACIO SANT HOSPITAL
"RESIDENCIA CASA LAS MONJAS, S.L."
"RESIDENCIA VIRGEN DE LOURDES 2, S.L."
"LLARS RESIDENCIALS DANIEL'S, S.L."
"LLAR SANT JORDI, S.L."
"RESIDENCIA SAN LORENZO, S.L."
"LLAR RESIDENCIAL MERAN, S.L."
"CENTRO MEDICO ALFA DOS, S.L."
"GERIATRICO BIOTZAK, S.A."
RESIDENCIA GURE LEKU S.L.L.
"MENDOZA Y CONDE, S.L."
"SERVICIOS GERIATRICOS NOEGA, S.L."
"GION MATUTE MH, S.L."
"CENTRO ASISTENCIAL GAUDI 30-32, S.L."
"RESIDENCIA GERIATRICA ZURE ETXEA, S.L."
"GERICED, S.L."
"CENTRE GERIATRIC PINEDA, S.L."
"RESIDENCIA GERIATRICA BELL RESGUARD, S.L."
"SAFIBEL, S.L."
"REMUPE VALLADOLID, S.L."
"LA RESIDENCIA DE MEDINA, S.L."
"COMADENGALL, S.A."
"GERICON REAL ESTATE, S.L.U."
"RESIDENCIA CENTRO DE DIA ASTARLOA, S.L."
"RESIDENCIA ZUETXE-BAKIO, S.L."
"RESIDENCIA SOPELANA, S.L."
"LASAITASUN, S.L."
"ADOMI SACOR, S.L."
"ESPARTINAS GERIATRICO, S.L."
"EDAD DE ORO, S.L."
"HOSPITAL REY DON JAIME, S.L."
"HABITAT RESORTS, S.L."
"GESECOPLAR, S.A. (GRUPO ECOPLAR)"
"CIDMOSO, S.L."
"SOCIDMO, S.L."
"HOSPITAL JEREZ PUERTA DEL SUR GRUPO HLA, S.A."
"INSTITUTO GERONTOLOGICO MONTEVIL, S.A."
FUNDACIÓN LOPEZ RUMAYOR
"RESIDENCIA VIRGEN DEL CONSUELO, S.L."
"RESIDENCIA TERCERA EDAD LAS ACACIAS, S.L."
"R.S. DEL CARMEN, S.L."
"GRUP LLAR GERIATRICS, S.L."
"RESIDENCIAL TORREFUENTES, S.L."
"RESIDENCIAS RAESSA, S.L."
"HOGAR LOS ROSALES, S.L."
"CONSTRUCCIONES DEL TURIA, S.L."
"VITALIA CARIÑENA, S.L."
"ANNEKE INTEGRAL CARE SERVICES, S.L."
"SERVICIOS GERIÁTRICOS DE ALMERÍA, S.L."
PARC SANITARI PERE VIRGILI
"MEDIN 1, S.A."
"SERGESA BOADILLA, S.A."
"CENTRO GERIATRICO LEVANTE, S.A."
"RESIDENCIA VILLA DE LEDESMA, S.L."
"CENTRO RESIDENCIAL AMON, S.L."
"SANCHEZ LERA, S.L."
"MONTELAR, S.A."
"CENTRE MQ REUS, S.A."
"SANATORIO VIRGEN DEL MAR-CRISTÓBAL CASTILLO, S.A."
"RES. TERCERA EDAD MADRE FRANCISCA, S.L."
"VALDELUZ, S.A."
"IGURCO RESIDENCIAS SOCIOSANITARIAS, S.L."
"VILLAS RESIDENCIALES, S.L."
"RESIDENCIES 88, S.L."
"LEVANTE CENTRO, S.A."
"HOSPITAL POLUSA, S.A."
"SERVICIOS CLÍNICOS, S.A."
"HOSPITAL DR. GÁLVEZ, S.A."
"EL CASTILLO ATENCIÓN A LA DEPENDENCIA, S.A."
"RESIDENCIA MIRASOL, S.L."
"CENTRO MÉDICO EL CARMEN, S.A."
"SANATORIO ESQUERDO, S.A."
"CLINICA VIRGEN DE LA VEGA, S.A."
"SOCODI CLUB, S.L."
"RESIDENCIA DE LA ASUNCIÓN, S.L. (GRUPO DE RES. DR. LÓPEZ MALLA)"
"JOPARC 2000, S.L."
"ALCARRIA RESIDENCIAS ASISTENCIALES, S.L."
"RESIDENCIA REMOSAN, S.L."
"UNMEQUI UNIVERSAL MÉDICO-QUIRÚRGICA, S.A. - VALLÉS SALUD"
"NOVOGER MIAJADAS, S.L."
"PAIVAN SERVICIOS GERIATRICOS, S.L."
"RESIDENCIA TERCERA EDAD SAN ESTEBAN, S.L."
"ATENEA RESIDENCIA, S.L."
"RESIDENCIAS IBEREGO, S.L."
"INTERGERIAT, S.L."
"RESIDENCIA BENEDICTO, S.L."
"INVERSIONES CONCRETO, S.L."
"QUIMIDEX PROFESSIONAL, S.L."
"PROECO QUIMÍCAS, S.L."
"CELQUISA, S.L."
"MEDICAL MARKET, S.L."
EQUIPHOTEL INTEGRAL S.L.
"SUMINISTROS TÉCNICOS GALICIA, S.L. (SUTEGA)"
"FARMADOSIS, S.L."
"NR ACCESORIOS DE LACTANCIA, S.L."
"NOVALLAR DE CUNIT, S.L."
"HOTEL RESIDENCIAL BAÑOS DE ARDALES HÁBITAT, SOC. COOP. ANDALUZA"
"LENDY FOLK ASSISTANCE, S.L."
"GRUPO JARDINES (INVERSIONES EN RESIDENCIAS SOCIEDAD EN CARTERA, S.L.) - IRSC"
"CENTRO GERIÁTRICO LA JARA, S.L."
"RESIDENCIAL GERIATRICO SAN BLAS, S.L."
"TEMON INVERSIONES, S.L"
"GESTIÓN GERIÁTRICA 2010, S.L."
CERCA DE PERALES-UTE
"TAR 2022 GESTIÓN VISO DEL MARQUES, S.L. (GRUPO TAR 2022)"
AJUNTAMENT DE SANT HILARI DE SACALM
"LÓPEZ FAMILIA, S.L."
"CENTRO DE MAYORES VIRGEN DEL CARMEN, S.L."
"DELFI RESIDENCIAL, S.L."
"MARBORÉ SANTA ISABEL ASISTENCIAL, S.L."
"ASOCIACIÓN SAN LÁZARO, S.C."
SOCIEDAD COOPERATIVA BETANIA
"MARCOS MESA, C.B."
"RESIDENCIA RUIZ, S.L."
"RESIDENCIA PARQUE FÉLIX, S.L."
"ALONSO-GONZÁLEZ 2000, S.L."
"MAZORRA Y SAIZ, S.L."
"RESIDENCIA VILA MONTGR,I S.L."
"PARAÍSO SERVICIOS ASISTENCIALES DE ANCIANOS, S.L."
FUNDACIÓN NAZARET
"OSCAMAYORES, S.L."
"RACABA, S.L."
"GERIATRICO EL PARQUE, S.L.L."
FUNDACIÓN HOSPICIO ASILO JUAN CRISÓSTOMO MANGAS
"MONSECOR, S.L."
"RESIDENCIA STA CRISTINA DE LA POLVOROSA, S.L."
"RESIDENCIA ELS CIRERERS, S.L."
"RESLAKI, S.L."
"RESIDENCIA VALLE HEBRÓN, S.L."
"GESTIÓ I ADMINISTRACIÓ CENTRES GENT GRAN, S.L."
"RESIDENCIA BONAVITA, S.L."
"EL MIRADOR DE FONT D'EN FARGUES, S.L."
"RESIDENCIA GERIÁTRICA INDALO, S.L."
MARI CARMEN MENA GÓMEZ
"TANCOL 2, S.L."
"CASTRO PIE, S.L."
"RESIDENCIA EL SERRAT, S.L."
"RESIDENCIA GERIÁTRICA CAN ROVIRA, S.L."
" SMART LIVING PROPERTIES, S.A."
"RESIDENCIA LA LLAR DE VILANOVA, S.L."
"MAGNOLIA HOMECARE, S.L. - MAGNOLIA SERVEIS"
"SERVICIOS INTEGRALES MUGRAFA, S.L."
"CASER RESIDENCIAL INMOBILIARIA, S.A."
"HAOMA SERVICIOS ASISTENCIALES, S.L."
"RESIDENCIA ARBOLANTXA, S.L."
"RESIDENCIA 3ª EDAD VIRGEN DE BEGOÑA, S.L."
"CENTRO RESIDENCIAL SANFUENTES, S.L. (GRUPO LEKUONA)"
"RESIDENCIA TERCERA EDAD EL BUIFARAN, S.L."
"DEEC ENFERMERIA, S.L."
"SEÑORÍO DE AXARQUIA, S.L."
"NAHIKARI GESTIÓN, S.L."
"BENGODIA, S.L."
"RESIDENCIA MURUA, S.L."
ECOHOUSING SALUD
"RESIDENCIA ASCARZA, S.L."
"RESIDENCIA ARCAIA, S.L."
"ALONDRA MOS, S.L."
"RESIDENCIA EL RETIRO, S.L."
"EMPAKE ASISTENCIAL, S.L."
"RESIDENCIA PARA MAYORES CACELA, S.L."
"CENTRO DE MAYORES ESPERANZA MACARENA, S.L."
FEDERACION DE ORGANIZACIONES ANDALUZAS DE MAYORES  - FOAM
"CLÍNICAS REVITAE, S.L. (GRUPO)"
"ESDESLA, S.L."
"MEDICAL PROPERTIES TRUST, S.L."
"MARSON RESIDENCIA GERIÁTRICA, S.L."
"JAÉN SALUD, S.L."
"RESIDENCIA VIRGEN DE LUNA, S.L."
"VIDALUZ SERVICIOS ASISTENCIALES Y RESIDENCIALES, S.L."
"SANATORIO DOCTOR MUÑOZ, S.L."
"GESTIÓN INTEGRAL SOCIOASISTENCIAL, S.L. (GIS)"
GRUPO DETRIAVALL
"CLÍNICA QUIRÚRGICA CACEREÑA, S.A."
RAIOLA SAPM S.L.
KABIA - ORGANISMO AUTÓNOMO FORAL
"RESIDENCIA TERCERA EDAT L'ONADA, S.L."
"RESIDENCIAS EXTREMEÑAS DE MAYORES, S.L."
"GERONTORIOJA, S.L."
OBISPADO DE CANARIAS
FUNDACIÓN SAN MANUEL Y SAN SEVERINO
"RESIDENCIA PRIVADA LAKUA, S.L."
"PEÑARRANZ RESIDENCIAL, S.L."
ARABARREN S.C.
"EDIFICA VIAS E INFRAESTRUCTURAS, S.L."
RESIDENCIA VIRGEN DEL ROSARIO S.L.
SECURE CAPITAL SOLUTIONS 2000 S.L
CLÍNICA ESPECIALIDADES CENMED S.L.
RESIDENCIA LOS SALAZAR GOMEZ S.L.
ASOCIACIÓN TODORESIDENCIAS EDAD AVANZADA
"VITALIA JARDÍN, S.L."
"WADI, S.L."
CENTRO MEDICO LA LAGUNA VIDA SL 
"SERVICIOS SOCIALES Y SOLIDARIDAD, S.L."
AFEDAZ-ASOC. FAMILIARES DE ENFERMOS CON ALZHEIMER DE ZARAGOZA
FUNDACIÓN SANATORIO ADARO
FUNDACIÓN TUTELAR DE LA RIOJA
"CENTROS MÉDICOS ASISTENCIALES DE MEDICINA INTEGRAL, S.L."
"SERVEIS LLEIDA GLOBAL GRUP, S.L."
"108 PALGEY, S.L."
"RESIDENCIA JULIA, S.L."
"RESIDENCIA ODAMAR,  S.L."
"LOS JARDINES DE CLARA COSTABLANCA, S.L."
"RESIDENCIAL BON REPOS, S.L."
"ALLEGRA MAGNA, SDAD. COOP."
"CABANAN HOLDING, S.L."
"LIPTON, S.L."
"SUMAVIDA SOCIOSANITARIA, S.L."
"URRIENS-ZABAU RESIDENCIA DE ANCIANOS, S.L."
"RESIDENCIA LAS GAVIOTAS, S.L."
"RESITER ALGECASA, S.L."
"GESTION Y SERVICIOS PARA MAYORES DEPENDIENTES, S.L.L."
"SAN RAMÓN SENIOR, S.L."
"GARCIA CAPARROS QUATRETONDA, S.L."
"RESIDENCIAL VALENCIANA NUESTROS MAYORES, S.L."
"CENTRO DE MAYORES NTRA SRA DE LA ESTRELLA, S.L."
"HOGAR EL MOLI, S.L."
"RESIDENCIA LLINARS DEL VALLÈS, S.L."
"GALOPÍN SERVICIOS INTEGRALES, S.L.U."
"UNIGES-3, S.L."
AYUNTAMIENTO FUENSANTA
AYUNTAMIENTO VILLAREJO DE FUENTES
AYUNTAMIENTO ALMONACID DEL MARQUESADO
AYUNTAMIENTO ZARZUELA
AYUNTAMIENTO VARA DEL REY
"PROACTIVE HEALTH BOFILL, S.L."
AYUNTAMIENTO DE POTRIES
"ARBESKO EGOITZA, S.L."
"VALLE DE RUMBO, S.L. "
"AITA-ETXE, S.L."
"GERIÁTRICO NOSA SEÑORA DA SELA, S.L"
"VILA DO CONDE, S.L."
"PORTO AVIEIRA ATENCIÓN A TERCEIRA IDADE, S.L."
"SG CÁSEDA, S.L."
"GAUDIUM GESTIÓN, S.L. (GRUPO GAUDIUM SALUD)"
"LONOMAR ALMERÍA, S.L."
SOCIEDAD COOPERATIVA DE CASTILLA-LA MANCHA VITÁPOLIS
"GESTORA D'ADMINISTRACIO I ATT. VELLESA OLOT I COMARCA, S.L."
FUNDACIÓN ARAS
ASESYDE-ASOCIACIÓN PARA LA ECONOMÍA SOCIAL Y EL DESARROLLO ECONÓMICO
FUNDACIÓN RESIDENCIA VEGAQUEMADA
"TABOR GERIATRÍA Y SANIDAD, S.L."
CONGREGACIÓN NUESTRA SEÑORA CARIDAD DE BUEN PASTOR
"SERVIGER XXI ALBACETE, S.L."
"AYUNTAMIENTO DE SANTA COLOMBA DE SOMOZA,"
"CENTRO RESIDENCIAL EL PICO FRENTES, S.L."
"INNOVACIÓN Y DESARROLLO ASISTENCIAL, S.L. (IDEA)"
"CORTIJO CARE, S.L."
"RESIURGELL, S.L."
"MÉDICOS NOCTURNOS RONDA, S.L."
"INICIATIVA SOCIAL ALMODÓVAR, S.L."
"EOS EMPRESA DE OCIO SOCIOCOMUNITARIO, S.L."
"INGENIVET, S.L."
AYUNTAMIENTO DE TORRE DE MIGUEL SESMERO
"AIRES DE GREDOS, S.L."
PARROQUIA DE SAN ESTEBAN
FUNDACIÓN NUESTRA SEÑORA DE MANJAVACAS
HERMANAS CARMELITAS DEL SAGRADO CORAZÓN DE JESÚS
DISCÍPULAS DE JESÚS
SIERVAS DE MARÍA
PARROQUIA SAN SILVESTRE
ASOCIACIÓN SAN JOSÉ DE OBRAS BENÉFICAS
FRANCISCANAS DE NUESTRA SEÑORA DEL BUEN CONSEJO
PÍA UNIÓN LA OBRA DE LA SEÑORA
HIJAS DE SAN JOSÉ
FUNDACIÓN SAN EUGENIO
PARROQUIA NUESTRA SEÑORA DE LA PAZ
FRANCISCANAS MISIONERAS DE LA INMACULADA CONCEPCIÓN
CONGREGACIÓN SIERVAS DE JESÚS DE LA CARIDAD
CONGREGACIÓN HERMANAS HOSPITALARIAS DE LA SANTA CRUZ
OBISPADO DE TENERIFE
"GEROS AZUR, S.L."
CONVENTO SOR ÁNGELA DE CRUZ
OBRA JESÚS NAZARENO
CONGREGACIÓN RELIGIOSAS COOPERADORAS DE BETANIA
OBISPADO DE MONDOÑEDO
OBISPADO DE ORIHUELA
PARROQUIA SAN IGNACIO DE LOYOLA
OBISPADO DE VALENCIA
PARROQUIA INMACULADA CONCEPCIÓN
PROVINCIA FRANCISCANA SAN GREGORIO MAGNO CASTILLA
HERMANAS SAN JOAQUÍN Y SANTA ANA
FUNDACIÓN APRONI
"PROCGERI GESTIÓN XXI, S.L."
"GERIÁTRICO DEL ADAJA, S.L."
"CENTRO SOCIO SANITARIO BUSTIELLO, S.L."
"SERVEIS ASSISTENCIALS SANT CEBRIÀ, S.L."
"HOSPITAL AGUAS VIVAS, S.A."
"CENTRO DE TECNOLOGÍAS MÉDICAS APLICADAS ALZIRA, S.L."
ASOCIACIÓN INTEGRA2
"CENTRO TERCERA EDAD OLIVA, S.L."
"RESIDENCIA LOS ARRAYANES, S.L."
"CASAVERDE CENTRO DE REHABILITACIÓN NEUROLÓGICO DE EXTREMADURA, S.L."
FUNDACIÓN CUNA DEL DUERO
"CENTRO RESIDENCIAL ALTO BIERZO, S.L."
"IGLESIAS CASTAÑÓN GESTIÓN INTEGRAL PONGUETA, S.R.L."
"GESTIÓN ASISTENCIAL PORRERES, S.L."
"GRAN VIA PARC, S.L."
"RESIDENCIAL EL MIRADOR, S.L."
AYUNTAMIENTO DE SANTA CRUZ DE RETAMAR
"ÁLAMO SERVICIOS ASISTENCIALES, S.C."
"GESTIÓN GERIÁTRICA PARADA DE SIL, S.L."
"RESIDENCIA SIERRA DE LA DEMANDA, S.L."
RESIDENCIA FUNDACIÓN ELORDUY
LA CARIDAD DE SANTANDER
FUNDACIÓN SAN DIEGO
"CLINICA EL SERANIL, S.L."
CONGREGACIÓN APOSTÓLICA MARTA Y MARÍA
"RESIDENCIAS DE MAYORES MAS VIDA, S.L."
BILBAO BIZKAIA KUTXA - DIVISIÓN SOCIAL BBK
ASOCIACIÓN PRO-HUÉRFANOS DE LA GUARDIA CIVIL
"SERVICIOS GERIÁTRICOS DEL NORTE, S.L."
"RESIDENCIA GERIÁTRICA L'ALBERT TORDERA, S.L"
SERCOAMA SOC.COOP.
"ADMINISTRACIÓN Y GESTIÓN DE RESIDENCIAS DE LA 3A EDAD, S.L."
"RESIDENCIAS OTROULO, S.L."
"RESIDENCIAL PARCHIS, S.L."
"SERVICIOS GERIÁTRICOS EDADTER, S.L."
"RESIDENCIA MARTIARTU, S.A."
"IZARO XXI RESIDENCIAS GERIATRICAS, S.L."
"ENEMAITE, S.L."
"INICIATIVAS DE GARANTÍA SOCIAL, S.L."
ASOC.RESID.PENSIONISTAS FERROVIARIOS
"RESIDENCIA TERCERA EDAD MONTEVERDE, S.L."
FUNDACIÓN LEGADO D. JOSE OSQUIGUILEA RONCALES
"IDCSALUD MÓSTOLES, S.A."
FUNDACIÓN RODRÍGUEZ DE CÉLIX
FUNDACIÓN NTRA. SRA. DE BEGOÑA
FUNDACIÓN SALARICH-CALDERER
FUNDACIÓN PRIVADA LLAR D'AVIS DE LA UEBE
FUNDACIÓN BENÉFICA NTRA. SRA. DE FÁTIMA
FUNDACIÓN D'ANCIANS DE SANT FELIU DE TORELLO
CORPORACIÓ SALUT DEL MARESME I LA SELVA
FUNDACIÓN VILANIU
FUNDACIÓN APÓSTOL SANTIAGO
FUNDACIÓN PROMI
"GOLD ASISTA, S.L."
"RESIDENCIA SANT-GUARDIA, S.L."
"RESIDENCIA DE AGUILAR DE LA FRONTERA, S.L."
"INVERSIONES FERNANDEZ Y COSSIO, S.L."
"RESIDENCIA MILAGROSA CORRALES, S.A."
"GESTIONES Y PROMOCIONES VALLADOLID, S.L."
FUNDACIÓN ZORROAGA
FUNDACIÓN MARÍA LEONOR Y LEGADO DE LOS POBRES HDEZ. MURIEL
FUNDACIÓN PRIVADA SANTA OLIVA
ASOCIACIÓN RESIDENCIA GERIÁTRICA SANT DOMENECH
FUNDACIÓN NTRA. SRA. DE LA PRESENTACIÓN
ASOCIACIÓN NTRA. SRA. VIRGEN DE LA OLIVA
"CENTRO ASISTENCIAL CASTILLA 3 EDAD, S.L."
"COMPLEJOS RESIDENCIALES ROYAL, S.L."
"VALLSTIRA, S.L."
"RES. TERCERA EDAD DIAGONAL, S.L."
"NOVA CONVIVENCIA, S.L."
"LLORENS PRESSEGUE, S.L."
FUNDACIÓN ASISTENCIAL VIRGEN DE LA MUELA
FUNDACIÓN SAN LAZARO DE BELORADO
FUNDACIÓN REAL CASA MISERICORDIA
FUNDACIÓN ASILO SANTA ELENA
"RESIDENCIA DE MAYORES RAFELBUNYOL, S.A."
FUNDACIÓN PRIVADA CASA PAIRAL
FUNDACIÓN BENÉFICA HOSPITAL SAN JUAN DE DIOS
FUNDACIÓN LOS PASTOREROS
FUNDACIÓN RESIDENCIA ANCIANOS DIVINA PASTORA
FUNDACIÓN SOCIAL SAN MILLÁN
FUNDACIÓN BENEFICO PARTICULAR CASA NUESTRA SEÑORA DEL CARMEN
FUNDACIÓN CARMEN ZAMORA
FUNDACIÓN DOÑA CLARA CASTELLANOS
FUNDACIÓN RESIDENCIA DE ANCIANOS LA MILAGROSA
FUNDACIÓN SAN ANDRÉS Y LA MAGDALENA
FUNDACIÓN BENÉFICA RESIDENCIA STA. MARÍA
FUNDACIÓN HERMANOS MUÑOZ CABRERA
FUNDACIÓN MIGUEL EZA
"LLAR DELS NOSTRES AVIS, S.L."
"LAIA ARQUERA, S.L."
"RESIDENCIA CADESA, S.L."
"VIEUX HEUREUX, S.L."
FUNDACIÓN NTRA. SRA. DE LOS DOLORES
FUNDACIÓN HOSPITAL ASILO SANTÍSIMA TRINIDAD
FUNDACIÓN BENÉFICA MONEDERO
FUNDACIÓN URIBARREN ABAROA
"CENTRO GERONTOLOGICO WASHINGTON, S.L."
"CENTRO GERONTOLOGICO DE BURGOS, S.L."
"GERIATRIC BELLESGUARD PARK, S.L."
"IVI BILBAO, S.L."
"CENTRO MAYORES TEJERA, S.L."
"EUFER-MATRI, S.L."
"RESID. SANT CRIST 3 EDAT, S.L."
"ALEX AUGUSTA, S.L."
"RESIDENCIA D'AVIS L'AUCA, S.L."
"RES. GERIATRICA MALGRAT, S.L."
"LLAR SANT MARC, S.L."
"GERIÁTRICA VELLSOLA, S.L."
"CASTELLAR NOU PROMOCIONS, S.L."
"SOGELTA, S.L."
"INVERBLOIS, S.L."
"AURA SORIHUELA, S.L."
"SARRIKUE, S.L."
FUNDACIÓ SOCIOSANITÀRIA I SOCIAL STA. TECLA
"GESMADOS, S.L."
"RESIDENCIAS PITARQUE, S.L."
"GESTORES DE RESIDENCIAS, S.L."
"COMUNIDAD VILLAMAYOR, S.L."
"HOSPITAL VIAMED MONTECANAL, S.L."
"IGURCO CENTROS GERONTOLOGICOS, S.L."
"GEROVITAE LA GUANCHA, S.A."
"CENTRO RES. O CASTRO, S.L."
"SANTA MARIA DE OIS, S.L."
FUNDACIÓN ASCE
"INVERSIONES BELUBECAR, S.L."
"NAGUSPEA, S.L."
"RESIDENCIAS SOLYVIDA CIFUENTES, S.L."
CONSORCI SANITARI DEL MARESME
"SERVEIS RESIDENCIALS PER LA TERCERA EDAT ELS AVETS, S.L."
"RESIDENCIAS SANT DANIEL, S.L."
"SIDI BEL 2001, S.L."
"RESIDENCIA JUBANY, S.A."
"ADEGIUS, S.L."
"HOGAR CLUB 65, S.L."
EMPRESA PUBLICA HOSPITAL DEL PONIENTE
GRUP CLÍNIC
"DOCTOR PÉREZ MATEOS, S.A."
"RESIDENCIAS SOLYVIDA SAN CLEMENTE, S.L."
"CRAZY BOX, S.L."
"RESIDENCIA LA ERMITA, S.A."
ORGANIZACIÓN MÉDICA COLEGIAL (OMC)
"RESIDENCIA RASET, S.L."
"RESIDENCIA TERCERA EDAT LA SABINA, S.L."
"NUEVA GERIATRIA, S.L."
"RESIDENCIA GERIATRICA SAN PABLO, S.L."
"CENTRO GERONTOLOGICO LACORT, S.L."
"URBAN PORTFOLIO INMOBILIARIO, S.L."
"J.M.S. CONSULTORES, S.L."
GRUPO BLAMAR
EMP. PUBLICA HOSPITAL ALTO GUADALQUIVIR
"CENTRO SOCIO SANITARIO EL ESPINAR, S.L."
FUNDACIÓN HOSPITAL DE CALAHORRA (FHC)
"RESID. TERCERA EDAD LOS ARCES, S.L."
"EL OLMAR-99, S.L."
"RESIDENCIAS DE CASTILLA 2002, S.L."
"YALUZA, S.L. (CENTRO GINECOLOGICO EGR)"
"SOCIEDAD Q M EXTREMEÑA SOQUIMEX, S.L."
C. GER. NTRA. SRA. DE LA CONSOLACION  SL
SDAD. COOP. LTDA. DR. AUGUST PI I SUNYER
"ASISTENCIAL GERIÁTRICA ALGODONALES, S.L."
"MUTUAL GESTIÓN INTEGRAL, S.A."
"C Y E BADAJOZ SERVICIOS SOCIOSANITARIOS, S.A. (CASER)"
"DIAGNÓSTICO SAN MIGUEL MÉRIDA, S.L."
"INSTITUTO DE GINECOLOGIA EGR, S.L."
"POLIPLANNING, S.L."
"RES. TERCERA EDAD S. JUAN BAUTISTA, S.L."
"ASISTENCIA GERIATRICA LA MONTAÑA, S.L."
FUNDACIO SANITARIA D'IGUALADA
"RESISOL, S.L."
INSTITUTO RELIGIOSAS SAN JOSÉ DE GERONA
"SANTA TERESA ATENCION GERIATRICA, S.L."
"EL PINAR DE LA HIGUERILLA, S.L."
"ALDEHUELA-RES. DE LA TERCERA EDAD, S.L."
"RESIDENCIA GERIATRICA LAS VIÑAS, S.L."
SANT ANDREU SALUT FUNDACIÓ
"SERVICIOS GERIATRICOS CANTABROS, S.L."
"RESIDENCIA EGUILEOR, S.L."
"RESIDENCIA ESPIRITU SANTO, S.L."
"RES. DE LA TERCERA EDAD LA VILLA, S.L."
"RESIDENCIA BURGUELO, S.L."
"RESIDENCIA OLAEDI, S.L."
"RESIDENCIA EDERRA BERRI, S.L."
"DESARROLLOS GERIATRICOS, S.L."
"RAPESUA, S.L."
"RESIDENCIA ARGALUZA, S.L."
"RESIDENCIAL BLANES, S.L."
"GRUP ORPANIMAR, S.L."
"RESIDENCIA GERIATRICA LA ENCINA, S.L."
"RESIDENCIA MONTE SINAI, S.L."
"RESIDENCIA BEGOÑAKO AMA, S.L."
"SANITAS MAYORES PAÍS VASCO, S.A."
"ASIMÉDICA VIRGEN DE LA LUZ, S.L."
"CLÍNICA SAN FRANCISCO, S.L."
"SERVICIOS INTEGRALES DE SANIDAD, S.L."
"INST. SALUD MENTAL PÉREZ-ESPINOSA ORIA, S.L."
"RESIDENCIA SAN RAFAEL, S.L."
"ITERMAT, S.L."
"DELTA SERVEIS SOCIOSANITARIS, S.L."
"RESIDENCIA FICUS, S.L."
"CENTRO GERIÁTRICO LA POBLA, S.L."
"RESIDENCIA LUZ DE ARAS, S.L."
"RESIDENCIA VISTA NEVADA, S.L."
"RESIDENCIAL LAGO DE ARCOS, S.L."
"1973 EDAD DE ORO, S.L."
ASOCIACION ASISTENCIAL SILOE
"SERGESA OLMEDO, S.A."
"SOLLER INVEST, S.L. "
"RES-MIRO 4, S.L."
"ALBOAIRES, S.A."
"RESIDENCIA VIRGEN DE FATIMA, S.L."
"ZUFERRI, S.A."
"OLMOS ASOCIADOS Y RESIDENCIAS, S.L."
"LOZAR Y BLAZQUEZ, S.L."
"RESIDENCIA LOS ALMENDROS, S.L."
"SOZALESA, S.L."
"NTRA. SRA. DEL PERPETUO SOCORRO, S.A."
"SACOVA CENTROS RESIDENCIALES, S.L. (NOVAIRE)"
OBISPADO DE CACERES
"MARTODEY, S.L."
"RESIDENCIA CANTONIGROS, S.L."
"ROMA I SERRA, S.L."
"RESIDENCIAS CALDERON, S.L."
"ASISTENCIAL GERIATRICA BEDMAR, S.L."
"RESIDENCIA MONTE VEDAT, S.L."
"VITALIA MAIRENA, S.L."
"VITALIA RINCONADA, S.L."
"VITALIA LA CAMPANA, S.L."
"BRANDEIS, S.A."
"MACAVEL ATENCIONES INTEGRALES, S.L."
"VALL DEL TERRI, S.L."
"CENTROS ASISTENCIALES SAN TORCUATO, S.L."
"RESIDENCIA GERIATRICA GADES, S.L."
"HEDE ASISTENCIAL, S.L."
"GERIALE, S.L."
"MORALEJA GESTION, S.A."
"CENTRO GERIÁTRICO EUROPEO, S.A."
"EL CUETU, S.A."
