MUTUALIA
"ABBOTT MEDICAL ESPAÑA, S.A."
"CANON MEDICAL SYSTEMS, S.A."
"LORCA MARÍN, S.A."
"HOLOGIC IBERIA, S.L."
"SERVICIOS SOCIAIS SAN ROQUE, S.L."
"LABORATORIOS URGO, S.L."
"CUIDADOS SANITARIOS ASISTENCIALES, S.L. (CSA HUB)"
"MGS SEGUROS Y REASEGUROS, S.A. (DIVISIÓN SEGUROS DE SALUD)"
GRUPO PALACIOS
GRUPO EUGIN
"ADMINISTRACIÓN DE SERVICIOS ASISTENCIALES, S.L."
FUNDACIÓN CATALINA SUAREZ
"MARKETING OLFATIVO, S.L."
"ALBA II RESIDENCIA GERIATRICA, S.L."
FONSERRANA S. COOP. ANDALUZA DE INTERÉS SOCIAL
"SERVICIOS Y GESTION RESIDENCIAL EN CANARIAS, S.L. (SERCA GESTIÓN)"
CERCA DE HOYOS-UTE
"SERVEIS DE GERIATRIA ALFACS, S.L."
"VIRMUKA, S.L."
"GERIÁTRICOS BARAMBIO, S.L. (GRUPO TAR 2022)"
"TU OTRA FAMILIA, S.L."
FUNDACIÓN HERMANDAD NUESTRA SEÑORA DE LA SOLEDAD
"MARTÍNEZ ROMERO Y MAYOR ASOCIADOS, S.L."
"BLANCO GERIATRÍA, S.L."
"LA ADRABAR, S.L."
"RESIDENCIA LACADI, S.L."
"CENTRO PARA MAYORES SANTA HELENA, S.L."
"RESIDENCIA PARRALILLOS, S.L."
"RESIDENCIA DE LA TERCERA EDAD LAS CANDELAS, S.L."
"TRINIDAD & MONTES ORIENTALES, S.L."
"ALDAGARI, S.L."
"RESIDENCIA EL PILAR DE BARAKALDO, S.L."
"RESIDENCIA LAS TERRAZAS, S.L."
"RESIDENCIA SAN RAIMUNDO, S.L."
"BUESA ITURRIOZ, S.L."
"GESTORA POLIVALENTE, S.L."
"BALCÓN DE CALATAYUD, S.L."
"ALENTA RESIDENCIAS, S.L."
"RESIDENCIA DE PERSONAS MAYORES CIUDAD DE ÚBEDA, S.COOP.AND."
"RESIDENCIAL DE LA BELLA S.C.A,"
"RESIDENCIA CA L'OLLER, S.L."
"INVERSIONES BEMIC, S.L."
"CENTRO GERIÁTRICO TALAVERA, S.L."
"PRUST FOLNER, S.L."
"SEQUERA ESPEGEL, S.L."
"RESIDENCIA LA TARDOR, S.L."
"RESIDENCIES 3ERA EDAT EL VELLET, S.L."
"RESIDENCIAL PALAMÓS MAR, S.L."
"RESIDENCIAS PARK CENTRAL 2002, S.L."
"L'ESTEL D'HORTA, S.L."
"VALLES BENESTAR, S.L."
"LLAR TERCERA EDAD MARTAL, S.L."
"VIDA SENIOR CASERNES, S.L."
"LLAR D'AVIS ALFOU, S.L."
"RESIDENCIAL MARGAL, S.L."
"DESALUP, S.L."
"RESIDENCIA ASSISTIDA GENT GRAN, S.L."
"RESIDENCIA OLGA, S.L."
"BELLACRESTA, S.L."
